tweet_text,all_hashtags
WORRY BLAST - Money via #MightyMusic #NowPlaying #Barbwires.Com #Premier #Radio #Listen https://t.co/otiJh7eT0e 24 x 7 Hard #Rock and #Metal https://t.co/SzkoqXmX7V plays the newest 21st Century #Premier #Metal,"['MightyMusic', 'NowPlaying', 'Barbwires', 'Premier', 'Radio', 'Listen', 'Rock', 'Metal', 'Premier', 'Metal']"
#NOWPLAYING :  Doja Cat - Boss B*tch    LISTEN HERE ➡️ https://t.co/CaaGRrfjxk     #quoradio #qcradio #hiphop #rnb #pop #rock #top40 #radio #eclectic #onlineradio #listen #listening #hhm #QuarantineLife,"['NOWPLAYING', 'quoradio', 'qcradio', 'hiphop', 'rnb', 'pop', 'rock', 'top40', 'radio', 'eclectic', 'onlineradio', 'listen', 'listening', 'hhm', 'QuarantineLife']"
Dr. Dog - Big Girl https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
#NowPlaying salix beatmaker - Instru bonus 3 sur Free Confi #radiolibre #free #roots #rock #reggae #dub #electro #NonStopMusic  #BRANDNEWMUSIC  #Independent  #eightfivecrew #nonstopradio #webradio 24/7 https://t.co/ymXoAVLiJe,"['NowPlaying', 'radiolibre', 'free', 'roots', 'rock', 'reggae', 'dub', 'electro', 'NonStopMusic', 'BRANDNEWMUSIC', 'Independent', 'eightfivecrew', 'nonstopradio', 'webradio']"
#NOWPLAYING Hayley Williams - Simmer   CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd    #freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40,"['NOWPLAYING', 'freqnetwork', 'rock', 'pop', 'hiphopmusic', 'rap', 'playlists', 'dance', 'hiphop', 'top40']"
#nowplaying : The Rolling Stones / Sticky Fingers #c1971 #rock #rootsrock https://t.co/tZNRiZe3Ft,"['nowplaying', 'c1971', 'rock', 'rootsrock']"
MILLENNIUM - Assassin via #PureSteel #NowPlaying #Barbwires.Com #Premier #Radio #Listen https://t.co/otiJh7eT0e 24 x 7 Hard #Rock and #Metal https://t.co/SzkoqXmX7V plays the newest 21st Century #Premier #Metal,"['PureSteel', 'NowPlaying', 'Barbwires', 'Premier', 'Radio', 'Listen', 'Rock', 'Metal', 'Premier', 'Metal']"
Los Lonely Boys @loslonelyboys - Another Broken Heart https://t.co/lqb5l9jTn8 #Rock #Indie #Funk #Punk,"['Rock', 'Indie', 'Funk', 'Punk']"
"Albums of the week: The Dead Dasies - Holy Ground A hard rock supergrounp that doesn't sound like a glorified jam session. Soaring vocals, rock n roll riffs and catchy hooks are abundant on this one.  #Rock #Album #TheDeadDaisies https://t.co/DAUY9HfFfB","['Rock', 'Album', 'TheDeadDaisies']"
#NOWPLAYING :  Fleetwood Mac - Everywhere - 2017 Remaster    LISTEN HERE ➡️ https://t.co/CaaGRrfjxk     #quoradio #qcradio #hiphop #rnb #pop #rock #top40 #radio #eclectic #onlineradio #listen #listening #hhm #QuarantineLife,"['NOWPLAYING', 'quoradio', 'qcradio', 'hiphop', 'rnb', 'pop', 'rock', 'top40', 'radio', 'eclectic', 'onlineradio', 'listen', 'listening', 'hhm', 'QuarantineLife']"
